Category,Order Date,Segment,Sales Target
Furniture,10/22/2019,Corporate,125
Furniture,10/22/2019,Home Office,84
Office Supplies,10/24/2019,Consumer,44
Office Supplies,10/24/2019,Home Office,10
Office Supplies,10/25/2019,Consumer,13
Office Supplies,10/25/2019,Corporate,42
Technology,10/25/2019,Consumer,36
Furniture,10/26/2019,Consumer,58
Technology,10/26/2019,Consumer,372
Office Supplies,10/27/2019,Home Office,21
Furniture,10/28/2019,Corporate,580
Office Supplies,10/28/2019,Corporate,655
Technology,10/28/2019,Corporate,224
Office Supplies,10/29/2019,Corporate,73
Technology,10/29/2019,Consumer,2955
Technology,10/29/2019,Corporate,2
Furniture,10/31/2019,Consumer,1962
Furniture,10/31/2019,Corporate,1458
Office Supplies,10/31/2019,Consumer,91
Office Supplies,10/31/2019,Corporate,579
Technology,10/31/2019,Consumer,698
Technology,10/31/2019,Corporate,242
Technology,10/31/2019,Home Office,81
Furniture,11/1/2019,Consumer,32
Furniture,11/1/2019,Corporate,58
Office Supplies,11/1/2019,Consumer,1106
Office Supplies,11/1/2019,Corporate,248
Office Supplies,11/1/2019,Home Office,71
Technology,11/1/2019,Consumer,1840
Technology,11/1/2019,Corporate,920
Furniture,11/2/2019,Consumer,98
Office Supplies,11/2/2019,Consumer,413
Technology,11/2/2019,Consumer,638
Technology,11/2/2019,Corporate,100
Technology,11/2/2019,Home Office,840
Furniture,11/3/2019,Consumer,1220
Office Supplies,11/3/2019,Consumer,575
Office Supplies,11/3/2019,Corporate,6
Office Supplies,11/3/2019,Home Office,6
Technology,11/3/2019,Consumer,729
Technology,11/3/2019,Corporate,84
Furniture,11/4/2019,Consumer,615
Furniture,11/4/2019,Home Office,117
Office Supplies,11/4/2019,Consumer,36
Office Supplies,11/4/2019,Corporate,73
Office Supplies,11/4/2019,Home Office,96
Technology,11/4/2019,Consumer,1181
Technology,11/4/2019,Home Office,4119
Furniture,11/5/2019,Consumer,428
Furniture,11/5/2019,Home Office,18
Office Supplies,11/5/2019,Consumer,1126
Technology,11/5/2019,Consumer,100
Technology,11/5/2019,Home Office,45
Office Supplies,11/6/2019,Consumer,40
Furniture,11/7/2019,Consumer,745
Office Supplies,11/7/2019,Consumer,554
Office Supplies,11/7/2019,Corporate,138
Technology,11/8/2019,Consumer,364
Furniture,11/9/2019,Consumer,238
Furniture,11/9/2019,Home Office,52
Office Supplies,11/9/2019,Consumer,508
Technology,11/9/2019,Consumer,669
Furniture,11/10/2019,Consumer,683
Office Supplies,11/10/2019,Consumer,740
Technology,11/10/2019,Consumer,570
Furniture,11/11/2019,Consumer,1342
Furniture,11/11/2019,Corporate,524
Office Supplies,11/11/2019,Consumer,1813
Office Supplies,11/11/2019,Corporate,2180
Office Supplies,11/11/2019,Home Office,409
Technology,11/11/2019,Consumer,988
Technology,11/11/2019,Corporate,88
Technology,11/11/2019,Home Office,501
Furniture,11/12/2019,Consumer,556
Furniture,11/12/2019,Corporate,68
Office Supplies,11/12/2019,Consumer,62
Office Supplies,11/12/2019,Corporate,70
Technology,11/12/2019,Consumer,115
Technology,11/12/2019,Corporate,68
Furniture,11/14/2019,Home Office,64
Office Supplies,11/14/2019,Consumer,102
Office Supplies,11/14/2019,Corporate,21
Office Supplies,11/14/2019,Home Office,12
Technology,11/14/2019,Consumer,866
Furniture,11/15/2019,Consumer,10
Office Supplies,11/15/2019,Consumer,898
Office Supplies,11/15/2019,Corporate,11
Technology,11/15/2019,Consumer,803
Furniture,11/16/2019,Consumer,38
Furniture,11/16/2019,Corporate,275
Office Supplies,11/16/2019,Corporate,368
Office Supplies,11/16/2019,Home Office,275
Technology,11/16/2019,Corporate,79
Technology,11/16/2019,Home Office,279
Furniture,11/17/2019,Consumer,4153
Furniture,11/17/2019,Corporate,122
Furniture,11/17/2019,Home Office,509
Office Supplies,11/17/2019,Consumer,2259
Office Supplies,11/17/2019,Corporate,4086
Office Supplies,11/17/2019,Home Office,37
Technology,11/17/2019,Corporate,109
Furniture,11/18/2019,Consumer,894
Furniture,11/18/2019,Corporate,1286
Office Supplies,11/18/2019,Consumer,511
Office Supplies,11/18/2019,Corporate,113
Technology,11/18/2019,Consumer,528
Furniture,11/19/2019,Corporate,893
Office Supplies,11/19/2019,Consumer,210
Office Supplies,11/19/2019,Corporate,260
Office Supplies,11/19/2019,Home Office,179
Technology,11/19/2019,Consumer,4439
Technology,11/19/2019,Home Office,601
Office Supplies,11/20/2019,Corporate,80
Technology,11/20/2019,Corporate,834
Office Supplies,11/21/2019,Corporate,911
Office Supplies,11/21/2019,Home Office,6
Technology,11/21/2019,Corporate,296
Technology,11/21/2019,Home Office,91
Office Supplies,11/22/2019,Consumer,63
Office Supplies,11/22/2019,Corporate,1084
Office Supplies,11/22/2019,Home Office,10
Furniture,11/23/2019,Consumer,966
Furniture,11/23/2019,Corporate,171
Office Supplies,11/23/2019,Consumer,56
Office Supplies,11/23/2019,Corporate,101
Office Supplies,11/23/2019,Home Office,25
Technology,11/23/2019,Consumer,30
Technology,11/23/2019,Corporate,6
Furniture,11/24/2019,Consumer,314
Furniture,11/24/2019,Corporate,538
Furniture,11/24/2019,Home Office,98
Office Supplies,11/24/2019,Consumer,629
Office Supplies,11/24/2019,Corporate,1279
Office Supplies,11/24/2019,Home Office,6
Technology,11/24/2019,Consumer,1372
Technology,11/24/2019,Corporate,1050
Furniture,11/25/2019,Consumer,802
Furniture,11/25/2019,Corporate,1336
Furniture,11/25/2019,Home Office,284
Office Supplies,11/25/2019,Consumer,55
Office Supplies,11/25/2019,Corporate,390
Office Supplies,11/25/2019,Home Office,1185
Technology,11/25/2019,Consumer,486
Technology,11/25/2019,Corporate,27
Furniture,11/26/2019,Consumer,19
Office Supplies,11/26/2019,Consumer,705
Office Supplies,11/26/2019,Corporate,57
Office Supplies,11/26/2019,Home Office,82
Technology,11/26/2019,Consumer,783
Furniture,11/27/2019,Corporate,218
Office Supplies,11/27/2019,Consumer,4
Furniture,11/28/2019,Corporate,382
Furniture,11/28/2019,Home Office,411
Office Supplies,11/28/2019,Consumer,66
Office Supplies,11/28/2019,Corporate,228
Office Supplies,11/28/2019,Home Office,54
Technology,11/28/2019,Consumer,1059
Office Supplies,11/29/2019,Consumer,53
Office Supplies,11/29/2019,Corporate,12
Technology,11/29/2019,Consumer,570
Office Supplies,11/30/2019,Consumer,114
Office Supplies,11/30/2019,Corporate,7
Technology,11/30/2019,Consumer,102
Furniture,12/1/2019,Consumer,3609
Furniture,12/1/2019,Corporate,735
Office Supplies,12/1/2019,Consumer,89
Technology,12/1/2019,Consumer,894
Furniture,12/2/2019,Consumer,928
Furniture,12/2/2019,Corporate,423
Office Supplies,12/2/2019,Consumer,42
Office Supplies,12/2/2019,Corporate,169
Technology,12/2/2019,Consumer,120
Technology,12/2/2019,Corporate,130
Office Supplies,12/3/2019,Corporate,28
Technology,12/3/2019,Consumer,523
Technology,12/4/2019,Corporate,120
Office Supplies,12/5/2019,Consumer,398
Office Supplies,12/5/2019,Corporate,1715
Technology,12/5/2019,Corporate,785
Furniture,12/6/2019,Consumer,499
Office Supplies,12/6/2019,Consumer,133
Office Supplies,12/6/2019,Corporate,1085
Technology,12/6/2019,Consumer,36
Office Supplies,12/7/2019,Consumer,123
Office Supplies,12/7/2019,Home Office,391
Furniture,12/8/2019,Consumer,586
Furniture,12/8/2019,Corporate,122
Office Supplies,12/8/2019,Consumer,149
Office Supplies,12/8/2019,Corporate,65
Technology,12/8/2019,Consumer,146
Office Supplies,12/9/2019,Consumer,32
Office Supplies,12/9/2019,Corporate,416
Technology,12/9/2019,Consumer,983
Furniture,12/10/2019,Corporate,349
Office Supplies,12/10/2019,Consumer,100
Office Supplies,12/10/2019,Corporate,124
Furniture,12/12/2019,Consumer,4555
Office Supplies,12/12/2019,Consumer,34
Office Supplies,12/12/2019,Corporate,189
Furniture,12/13/2019,Corporate,193
Office Supplies,12/13/2019,Consumer,88
Office Supplies,12/13/2019,Corporate,19
Furniture,12/14/2019,Consumer,278
Office Supplies,12/14/2019,Consumer,11
Office Supplies,12/14/2019,Corporate,9
Technology,12/14/2019,Consumer,6423
Furniture,12/15/2019,Consumer,793
Furniture,12/15/2019,Corporate,468
Technology,12/15/2019,Consumer,44
Furniture,12/16/2019,Consumer,92
Furniture,12/16/2019,Corporate,2345
Furniture,12/16/2019,Home Office,249
Office Supplies,12/16/2019,Consumer,32
Office Supplies,12/16/2019,Corporate,117
Technology,12/16/2019,Consumer,462
Technology,12/16/2019,Home Office,1002
Office Supplies,12/17/2019,Consumer,50
Furniture,12/19/2019,Consumer,1601
Office Supplies,12/19/2019,Consumer,211
Office Supplies,12/19/2019,Corporate,37
Technology,12/19/2019,Consumer,492
Technology,12/19/2019,Corporate,692
Furniture,12/20/2019,Consumer,976
Furniture,12/20/2019,Corporate,188
Furniture,12/20/2019,Home Office,2538
Office Supplies,12/20/2019,Consumer,2152
Office Supplies,12/20/2019,Home Office,187
Technology,12/20/2019,Consumer,556
Furniture,12/21/2019,Consumer,1651
Office Supplies,12/21/2019,Consumer,17
Office Supplies,12/21/2019,Home Office,19
Office Supplies,12/22/2019,Consumer,266
Office Supplies,12/22/2019,Home Office,559
Furniture,12/23/2019,Consumer,56
Furniture,12/23/2019,Corporate,47
Office Supplies,12/23/2019,Consumer,671
Office Supplies,12/23/2019,Corporate,63
Furniture,12/24/2019,Consumer,28
Furniture,12/24/2019,Corporate,257
Furniture,12/24/2019,Home Office,26
Office Supplies,12/24/2019,Consumer,21
Office Supplies,12/24/2019,Corporate,156
Office Supplies,12/24/2019,Home Office,348
Technology,12/24/2019,Home Office,1139
Furniture,12/26/2019,Consumer,3
Furniture,12/26/2019,Corporate,712
Furniture,12/26/2019,Home Office,583
Office Supplies,12/26/2019,Consumer,568
Office Supplies,12/26/2019,Corporate,118
Furniture,12/27/2019,Consumer,468
Furniture,12/27/2019,Home Office,783
Office Supplies,12/27/2019,Consumer,1113
Office Supplies,12/27/2019,Corporate,21
Office Supplies,12/27/2019,Home Office,111
Technology,12/27/2019,Corporate,548
Office Supplies,12/28/2019,Consumer,1155
Office Supplies,12/28/2019,Corporate,2870
Furniture,12/29/2019,Consumer,40
Furniture,12/29/2019,Corporate,102
Furniture,12/29/2019,Home Office,9
Office Supplies,12/29/2019,Consumer,176
Office Supplies,12/29/2019,Corporate,292
Technology,12/29/2019,Consumer,478
Technology,12/29/2019,Corporate,902
Furniture,12/30/2019,Corporate,482
Office Supplies,12/30/2019,Consumer,217
Office Supplies,12/30/2019,Corporate,571
Technology,12/30/2019,Consumer,30
Technology,12/30/2019,Corporate,779
Furniture,12/31/2019,Corporate,1337
Furniture,12/31/2019,Home Office,1041
Office Supplies,12/31/2019,Corporate,90
Office Supplies,12/31/2019,Home Office,232
Technology,12/31/2019,Corporate,71
Technology,12/31/2019,Home Office,2392
Furniture,1/2/2020,Corporate,434
Office Supplies,1/2/2020,Corporate,143
Technology,1/2/2020,Corporate,1166
Furniture,1/3/2020,Consumer,1177
Office Supplies,1/3/2020,Consumer,7
Office Supplies,1/3/2020,Corporate,9
Technology,1/3/2020,Consumer,363
Furniture,1/4/2020,Corporate,210
Office Supplies,1/4/2020,Corporate,66
Furniture,1/5/2020,Home Office,61
Office Supplies,1/5/2020,Corporate,95
Office Supplies,1/5/2020,Home Office,132
Office Supplies,1/6/2020,Corporate,31
Office Supplies,1/9/2020,Consumer,357
Furniture,1/10/2020,Consumer,967
Office Supplies,1/12/2020,Corporate,404
Technology,1/12/2020,Corporate,360
Furniture,1/13/2020,Consumer,472
Office Supplies,1/13/2020,Consumer,71
Office Supplies,1/13/2020,Corporate,10
Furniture,1/17/2020,Home Office,260
Office Supplies,1/17/2020,Consumer,95
Office Supplies,1/17/2020,Corporate,7
Furniture,1/19/2020,Consumer,266
Office Supplies,1/23/2020,Home Office,40
Office Supplies,1/24/2020,Home Office,12
Office Supplies,1/26/2020,Corporate,159
Furniture,1/27/2020,Consumer,2807
Technology,1/27/2020,Consumer,552
Furniture,1/28/2020,Consumer,4083
Furniture,1/30/2020,Consumer,214
Office Supplies,1/30/2020,Consumer,13
Technology,1/30/2020,Consumer,1632
Furniture,1/31/2020,Consumer,46
Office Supplies,1/31/2020,Consumer,41
Furniture,2/3/2020,Consumer,31
Furniture,2/3/2020,Corporate,251
Office Supplies,2/3/2020,Consumer,78
Office Supplies,2/3/2020,Corporate,12
Technology,2/3/2020,Consumer,127
Furniture,2/6/2020,Consumer,1460
Office Supplies,2/6/2020,Consumer,700
Office Supplies,2/6/2020,Corporate,175
Technology,2/6/2020,Consumer,18
Office Supplies,2/7/2020,Corporate,298
Office Supplies,2/8/2020,Consumer,22
Technology,2/8/2020,Consumer,97
Furniture,2/9/2020,Consumer,216
Furniture,2/9/2020,Corporate,35
Office Supplies,2/9/2020,Corporate,38
Technology,2/9/2020,Consumer,528
Technology,2/9/2020,Corporate,20
Office Supplies,2/10/2020,Corporate,74
Office Supplies,2/14/2020,Consumer,61
Technology,2/14/2020,Consumer,879
Office Supplies,2/15/2020,Consumer,540
Technology,2/15/2020,Corporate,946
Office Supplies,2/16/2020,Consumer,135
Office Supplies,2/16/2020,Corporate,34
Furniture,2/18/2020,Consumer,33
Office Supplies,2/18/2020,Consumer,57
Office Supplies,2/18/2020,Corporate,10
Office Supplies,2/20/2020,Consumer,310
Technology,2/20/2020,Consumer,31
Office Supplies,2/21/2020,Consumer,2306
Office Supplies,2/22/2020,Home Office,86
Office Supplies,2/23/2020,Home Office,32
Office Supplies,2/25/2020,Consumer,23
Furniture,2/27/2020,Corporate,504
Office Supplies,2/27/2020,Corporate,18
Technology,2/27/2020,Consumer,571
Technology,2/27/2020,Corporate,90
Furniture,2/28/2020,Consumer,474
Furniture,3/1/2020,Corporate,174
Furniture,3/1/2020,Corporate,1191
Office Supplies,3/1/2020,Consumer,3
Office Supplies,3/1/2020,Consumer,64
Office Supplies,3/1/2020,Corporate,48
Technology,3/1/2020,Corporate,16
Technology,3/1/2020,Corporate,91
Furniture,3/2/2020,Consumer,685
Office Supplies,3/2/2020,Home Office,101
Furniture,3/5/2020,Consumer,423
Furniture,3/5/2020,Corporate,145
Office Supplies,3/5/2020,Consumer,922
Office Supplies,3/5/2020,Corporate,3
Technology,3/5/2020,Consumer,49
Technology,3/5/2020,Corporate,434
Furniture,3/6/2020,Consumer,387
Technology,3/6/2020,Consumer,986
Office Supplies,3/7/2020,Home Office,105
Technology,3/7/2020,Home Office,722
Furniture,3/8/2020,Consumer,1852
Office Supplies,3/8/2020,Consumer,20
Office Supplies,3/8/2020,Corporate,22
Technology,3/8/2020,Consumer,808
Office Supplies,3/9/2020,Consumer,4
Technology,3/9/2020,Corporate,407
Office Supplies,3/10/2020,Consumer,1
Office Supplies,3/10/2020,Corporate,90
Furniture,3/12/2020,Corporate,39
Office Supplies,3/12/2020,Consumer,5
Office Supplies,3/12/2020,Corporate,9
Furniture,3/13/2020,Consumer,143
Furniture,3/13/2020,Home Office,1255
Office Supplies,3/14/2020,Consumer,673
Technology,3/15/2020,Corporate,14
Furniture,3/16/2020,Consumer,174
Furniture,3/16/2020,Corporate,38
Office Supplies,3/16/2020,Consumer,7465
Office Supplies,3/16/2020,Home Office,18
Technology,3/16/2020,Corporate,94
Office Supplies,3/17/2020,Corporate,34
Technology,3/17/2020,Corporate,13
Furniture,3/19/2020,Home Office,357
Office Supplies,3/19/2020,Consumer,144
Office Supplies,3/19/2020,Corporate,1381
Office Supplies,3/19/2020,Home Office,67
Technology,3/19/2020,Corporate,3181
Technology,3/19/2020,Home Office,408
Office Supplies,3/20/2020,Consumer,48
Office Supplies,3/20/2020,Corporate,1142
Technology,3/20/2020,Corporate,212
Office Supplies,3/21/2020,Consumer,1270
Furniture,3/22/2020,Corporate,80
Office Supplies,3/22/2020,Consumer,321
Office Supplies,3/22/2020,Corporate,133
Technology,3/22/2020,Consumer,526
Technology,3/22/2020,Corporate,1518
Furniture,3/23/2020,Consumer,113
Office Supplies,3/23/2020,Consumer,55
Office Supplies,3/23/2020,Corporate,219
Technology,3/23/2020,Corporate,254
Furniture,3/24/2020,Corporate,40
Furniture,3/24/2020,Home Office,377
Office Supplies,3/24/2020,Corporate,8
Furniture,3/26/2020,Corporate,3631
Office Supplies,3/26/2020,Consumer,42
Office Supplies,3/26/2020,Corporate,1267
Technology,3/26/2020,Consumer,18
Office Supplies,3/27/2020,Consumer,71
Office Supplies,3/28/2020,Consumer,78
Technology,3/28/2020,Consumer,178
Furniture,3/29/2020,Consumer,17
Furniture,3/29/2020,Home Office,1120
Office Supplies,3/29/2020,Consumer,271
Technology,3/29/2020,Consumer,47
Furniture,3/30/2020,Home Office,374
Office Supplies,3/30/2020,Corporate,25
Technology,3/30/2020,Corporate,183
Furniture,3/31/2020,Corporate,23
Office Supplies,3/31/2020,Corporate,93
Technology,3/31/2020,Corporate,75
Office Supplies,4/2/2020,Consumer,34
Office Supplies,4/2/2020,Corporate,8
Technology,4/2/2020,Consumer,230
Furniture,4/4/2020,Home Office,100
Office Supplies,4/4/2020,Consumer,563
Office Supplies,4/4/2020,Home Office,110
Technology,4/4/2020,Consumer,574
Furniture,4/5/2020,Corporate,919
Furniture,4/5/2020,Home Office,962
Office Supplies,4/5/2020,Consumer,48
Office Supplies,4/5/2020,Corporate,172
Office Supplies,4/5/2020,Home Office,571
Technology,4/5/2020,Consumer,238
Technology,4/5/2020,Home Office,59
Office Supplies,4/6/2020,Consumer,118
Technology,4/6/2020,Consumer,24
Office Supplies,4/7/2020,Consumer,496
Office Supplies,4/7/2020,Home Office,10
Technology,4/7/2020,Consumer,407
Furniture,4/9/2020,Consumer,363
Office Supplies,4/9/2020,Consumer,338
Office Supplies,4/10/2020,Corporate,14
Office Supplies,4/10/2020,Home Office,168
Furniture,4/11/2020,Consumer,105
Office Supplies,4/11/2020,Consumer,487
Technology,4/11/2020,Consumer,755
Office Supplies,4/12/2020,Home Office,41
Furniture,4/13/2020,Consumer,1508
Furniture,4/13/2020,Corporate,41
Office Supplies,4/13/2020,Consumer,45
Office Supplies,4/13/2020,Corporate,80
Office Supplies,4/13/2020,Home Office,88
Technology,4/13/2020,Consumer,809
Technology,4/13/2020,Corporate,248
Office Supplies,4/14/2020,Consumer,35
Furniture,4/16/2020,Consumer,1548
Furniture,4/16/2020,Corporate,109
Office Supplies,4/16/2020,Consumer,9
Office Supplies,4/16/2020,Corporate,130
Technology,4/16/2020,Consumer,2156
Technology,4/16/2020,Corporate,105
Office Supplies,4/17/2020,Consumer,1507
Technology,4/17/2020,Consumer,1122
Furniture,4/18/2020,Consumer,94
Furniture,4/18/2020,Corporate,61
Office Supplies,4/18/2020,Consumer,223
Office Supplies,4/18/2020,Corporate,96
Office Supplies,4/18/2020,Home Office,858
Technology,4/18/2020,Consumer,99
Technology,4/18/2020,Corporate,334
Office Supplies,4/19/2020,Consumer,290
Furniture,4/20/2020,Corporate,578
Office Supplies,4/20/2020,Consumer,325
Office Supplies,4/20/2020,Corporate,12
Technology,4/20/2020,Corporate,311
Furniture,4/21/2020,Consumer,346
Office Supplies,4/21/2020,Consumer,19
Technology,4/21/2020,Consumer,404
Office Supplies,4/22/2020,Consumer,61
Technology,4/22/2020,Consumer,77
Office Supplies,4/24/2020,Home Office,23
Furniture,4/25/2020,Consumer,113
Office Supplies,4/25/2020,Consumer,705
Office Supplies,4/25/2020,Corporate,33
Furniture,4/26/2020,Consumer,1514
Furniture,4/26/2020,Corporate,66
Office Supplies,4/26/2020,Consumer,78
Office Supplies,4/26/2020,Corporate,112
Technology,4/26/2020,Corporate,290
Furniture,4/27/2020,Consumer,1382
Office Supplies,4/27/2020,Consumer,24
Office Supplies,4/27/2020,Home Office,45
Technology,4/27/2020,Consumer,1490
Office Supplies,4/28/2020,Consumer,42
Office Supplies,4/28/2020,Home Office,4000
Office Supplies,4/29/2020,Home Office,8
Furniture,4/30/2020,Corporate,72
Furniture,4/30/2020,Home Office,213
Office Supplies,4/30/2020,Corporate,40
Technology,4/30/2020,Consumer,900
Technology,4/30/2020,Corporate,204
Furniture,5/1/2020,Corporate,64
Office Supplies,5/1/2020,Consumer,72
Office Supplies,5/1/2020,Corporate,227
Technology,5/1/2020,Corporate,95
Office Supplies,5/2/2020,Corporate,9
Technology,5/2/2020,Corporate,141
Furniture,5/3/2020,Consumer,836
Furniture,5/3/2020,Home Office,593
Office Supplies,5/3/2020,Consumer,314
Office Supplies,5/3/2020,Home Office,14
Technology,5/3/2020,Consumer,360
Furniture,5/4/2020,Corporate,47
Office Supplies,5/4/2020,Corporate,128
Technology,5/4/2020,Corporate,994
Furniture,5/7/2020,Consumer,264
Office Supplies,5/7/2020,Consumer,55
Furniture,5/8/2020,Consumer,301
Furniture,5/8/2020,Corporate,7
Office Supplies,5/8/2020,Consumer,465
Office Supplies,5/8/2020,Home Office,41
Technology,5/8/2020,Consumer,2828
Office Supplies,5/9/2020,Consumer,46
Office Supplies,5/10/2020,Home Office,107
Technology,5/10/2020,Consumer,46
Furniture,5/11/2020,Home Office,198
Furniture,5/12/2020,Consumer,23
Office Supplies,5/12/2020,Consumer,213
Technology,5/12/2020,Consumer,829
Office Supplies,5/13/2020,Home Office,16
Technology,5/13/2020,Home Office,229
Furniture,5/14/2020,Corporate,1235
Office Supplies,5/14/2020,Consumer,1163
Office Supplies,5/14/2020,Home Office,502
Office Supplies,5/15/2020,Corporate,73
Technology,5/16/2020,Home Office,266
Office Supplies,5/17/2020,Consumer,89
Office Supplies,5/17/2020,Corporate,51
Office Supplies,5/18/2020,Corporate,10
Furniture,5/20/2020,Consumer,155
Office Supplies,5/20/2020,Consumer,6
Office Supplies,5/21/2020,Consumer,21
Office Supplies,5/21/2020,Corporate,53
Office Supplies,5/22/2020,Consumer,104
Technology,5/22/2020,Consumer,3337
Furniture,5/23/2020,Home Office,69
Office Supplies,5/23/2020,Consumer,149
Office Supplies,5/23/2020,Corporate,231
Office Supplies,5/23/2020,Home Office,757
Furniture,5/24/2020,Consumer,518
Office Supplies,5/24/2020,Consumer,8
Furniture,5/25/2020,Home Office,13
Office Supplies,5/25/2020,Consumer,719
Office Supplies,5/25/2020,Corporate,60
Office Supplies,5/25/2020,Home Office,128
Technology,5/25/2020,Corporate,601
Furniture,5/26/2020,Consumer,208
Office Supplies,5/26/2020,Home Office,160
Technology,5/26/2020,Consumer,380
Technology,5/26/2020,Home Office,166
Office Supplies,5/28/2020,Consumer,660
Office Supplies,5/28/2020,Home Office,6
Technology,5/28/2020,Consumer,42
Furniture,5/29/2020,Corporate,394
Office Supplies,5/29/2020,Consumer,663
Office Supplies,5/29/2020,Corporate,8
Office Supplies,5/29/2020,Home Office,77
Office Supplies,5/30/2020,Consumer,143
Technology,5/30/2020,Consumer,387
Technology,5/30/2020,Home Office,166
Furniture,5/31/2020,Consumer,4213
Furniture,5/31/2020,Corporate,61
Furniture,5/31/2020,Home Office,24
Office Supplies,5/31/2020,Consumer,300
Office Supplies,5/31/2020,Corporate,688
Office Supplies,5/31/2020,Home Office,7
Office Supplies,6/1/2020,Consumer,467
Office Supplies,6/1/2020,Corporate,51
Office Supplies,6/1/2020,Home Office,10
Technology,6/1/2020,Consumer,294
Furniture,6/4/2020,Home Office,34
Office Supplies,6/4/2020,Consumer,16
Office Supplies,6/4/2020,Home Office,28
Technology,6/4/2020,Consumer,1088
Furniture,6/5/2020,Corporate,1294
Office Supplies,6/5/2020,Corporate,9
Office Supplies,6/7/2020,Corporate,7
Office Supplies,6/7/2020,Home Office,50
Furniture,6/8/2020,Corporate,182
Office Supplies,6/8/2020,Consumer,123
Office Supplies,6/8/2020,Corporate,841
Technology,6/8/2020,Consumer,2
Furniture,6/9/2020,Consumer,327
Office Supplies,6/9/2020,Consumer,115
Office Supplies,6/9/2020,Home Office,100
Technology,6/9/2020,Consumer,181
Furniture,6/11/2020,Consumer,32
Furniture,6/11/2020,Corporate,1161
Office Supplies,6/11/2020,Consumer,137
Office Supplies,6/11/2020,Corporate,1709
Technology,6/11/2020,Consumer,55
Technology,6/11/2020,Corporate,227
Furniture,6/12/2020,Consumer,43
Office Supplies,6/12/2020,Consumer,47
Office Supplies,6/12/2020,Home Office,27
Technology,6/12/2020,Consumer,49
Office Supplies,6/13/2020,Consumer,39
Office Supplies,6/13/2020,Corporate,73
Office Supplies,6/13/2020,Home Office,39
Technology,6/13/2020,Corporate,810
Technology,6/13/2020,Home Office,63
Furniture,6/14/2020,Home Office,50
Furniture,6/15/2020,Consumer,425
Office Supplies,6/15/2020,Consumer,79
Technology,6/15/2020,Consumer,12
Technology,6/15/2020,Corporate,221
Furniture,6/16/2020,Consumer,201
Office Supplies,6/16/2020,Consumer,3362
Technology,6/16/2020,Consumer,125
Furniture,6/18/2020,Consumer,60
Furniture,6/18/2020,Corporate,656
Furniture,6/18/2020,Home Office,68
Office Supplies,6/18/2020,Consumer,615
Office Supplies,6/18/2020,Corporate,38
Office Supplies,6/18/2020,Home Office,23
Technology,6/18/2020,Consumer,505
Furniture,6/19/2020,Consumer,11
Office Supplies,6/19/2020,Consumer,211
Office Supplies,6/19/2020,Home Office,219
Furniture,6/20/2020,Corporate,227
Technology,6/20/2020,Consumer,118
Technology,6/20/2020,Corporate,128
Technology,6/20/2020,Home Office,282
Technology,6/21/2020,Consumer,93
Furniture,6/22/2020,Home Office,765
Office Supplies,6/22/2020,Consumer,1174
Furniture,6/23/2020,Corporate,27
Office Supplies,6/23/2020,Consumer,5
Office Supplies,6/23/2020,Corporate,148
Technology,6/23/2020,Consumer,569
Technology,6/23/2020,Corporate,65
Furniture,6/25/2020,Consumer,241
Office Supplies,6/25/2020,Consumer,453
Office Supplies,6/25/2020,Home Office,115
Furniture,6/26/2020,Consumer,366
Office Supplies,6/26/2020,Consumer,182
Office Supplies,6/26/2020,Home Office,46
Technology,6/26/2020,Consumer,933
Technology,6/26/2020,Corporate,36
Furniture,6/28/2020,Corporate,950
Office Supplies,6/28/2020,Corporate,20
Office Supplies,6/28/2020,Home Office,245
Furniture,6/29/2020,Consumer,124
Office Supplies,6/29/2020,Consumer,26
Technology,6/29/2020,Home Office,243
Furniture,7/2/2020,Consumer,870
Furniture,7/2/2020,Corporate,142
Office Supplies,7/2/2020,Consumer,604
Office Supplies,7/2/2020,Corporate,13
Office Supplies,7/2/2020,Home Office,17
Technology,7/2/2020,Corporate,77
Furniture,7/3/2020,Consumer,63
Furniture,7/3/2020,Corporate,429
Office Supplies,7/3/2020,Consumer,321
Office Supplies,7/3/2020,Corporate,6
Office Supplies,7/4/2020,Home Office,39
Technology,7/4/2020,Consumer,1111
Furniture,7/5/2020,Corporate,9
Office Supplies,7/5/2020,Consumer,33
Office Supplies,7/5/2020,Corporate,21
Office Supplies,7/5/2020,Home Office,18
Technology,7/5/2020,Consumer,30
Furniture,7/6/2020,Consumer,175
Furniture,7/6/2020,Corporate,153
Furniture,7/6/2020,Home Office,329
Office Supplies,7/6/2020,Corporate,533
Technology,7/6/2020,Corporate,114
Office Supplies,7/8/2020,Consumer,19
Furniture,7/9/2020,Consumer,187
Office Supplies,7/9/2020,Consumer,418
Office Supplies,7/9/2020,Corporate,183
Technology,7/9/2020,Consumer,772
Office Supplies,7/10/2020,Consumer,39
Furniture,7/11/2020,Consumer,643
Furniture,7/11/2020,Corporate,216
Office Supplies,7/11/2020,Consumer,140
Office Supplies,7/11/2020,Corporate,243
Technology,7/11/2020,Corporate,687
Furniture,7/12/2020,Consumer,423
Office Supplies,7/12/2020,Consumer,8
Technology,7/12/2020,Consumer,1504
Furniture,7/13/2020,Consumer,2028
Office Supplies,7/13/2020,Consumer,21
Office Supplies,7/13/2020,Corporate,33
Office Supplies,7/13/2020,Home Office,41
Furniture,7/14/2020,Consumer,553
Office Supplies,7/14/2020,Consumer,285
